source_url,target_url,status_code,preserve_query_string,include_subdomains,subpath_matching
https://www.seminuevos.com/blog/las-dos-caras-de-la-practicidad-ram-700-2018,https://www.seminuevos.com/usados/-/autos/-/ram/700/2018,301,false,false,false
https://www.seminuevos.com/blog/chevrolet-camaro-2016-establece-nuevos-parametros-en-la-categoria,https://www.seminuevos.com/precio/autos/chevrolet/camaro/2016,301,false,false,false
https://www.seminuevos.com/blog/zanella-lanzo-las-nuevas-rx-150-y-200-next,https://www.seminuevos.com/usados/-/motos,301,false,false,false
https://www.seminuevos.com/blog/yamaha-fz-s-fi-ahora-con-nueva-estetica,https://www.seminuevos.com/usados/-/motos/-/yamaha/fz-s+2.0,301,false,false,false
https://www.seminuevos.com/blog/fiat-uno-2017-se-pone-a-tono,https://www.seminuevos.com/usados/-/autos/-/fiat/uno,301,false,false,false
https://www.seminuevos.com/blog/jeep-compass-2017-forzando-al-maximo-la-genetica-2,https://www.seminuevos.com/usados/-/autos/-/jeep/compass,301,false,false,false
https://www.seminuevos.com/blog/fiat-uno-mobi-garantia-diversion,https://www.seminuevos.com/usados/-/autos/-/fiat/uno,301,false,false,false
https://www.seminuevos.com/blog/ford-mustang-gt-convertible-pasion-cielo-abierto,https://www.seminuevos.com/usados/-/autos/-/ford/mustang,301,false,false,false
https://www.seminuevos.com/blog/jaguar-xf-2015-nuevo,https://www.seminuevos.com/usados/-/autos/-/jaguar/xf,301,false,false,false
https://www.seminuevos.com/blog/kia-carnival-2015-tes-drive,https://www.seminuevos.com/usados/-/autos/-/kia,301,false,false,false
https://www.seminuevos.com/blog/great-wall-wingle-5-peru-2015,https://www.seminuevos.com/usados/-/autos/-/gwm,301,false,false,false
https://www.seminuevos.com/blog/focus-y-fusion-de-ford-dos-simbolos-de-elegancia,https://www.seminuevos.com/usados/-/autos/-/ford,301,false,false,false
https://www.seminuevos.com/blog/explorer-y-expedition,https://www.seminuevos.com/usados/-/autos/-/ford,301,false,false,false
https://www.seminuevos.com/blog/honda-crv-2023-renovada-precio-mexico,https://www.seminuevos.com/usados/-/autos/-/honda/cr-v,301,false,false,false
https://www.seminuevos.com/blog/mercedes-benz-en-ecuador-con-casa-nueva-y-vehiculos-exonerados,https://www.seminuevos.com/usados/-/autos/-/mercedes+benz,301,false,false,false
https://www.seminuevos.com/blog/chevrolet-beat-notchback-una-nueva-opcion-la-ciudad,https://www.seminuevos.com/usados/-/autos/-/chevrolet/beat,301,false,false,false
https://www.seminuevos.com/blog/llega-la-tercera-generacion-del-suzuki-swift-a-argentina,https://www.seminuevos.com/usados/-/autos/-/suzuki/swift,301,false,false,false
https://www.seminuevos.com/blog/mg-gs-2016-la-primera-suv-de-la-marca-llega-a-peru,https://www.seminuevos.com/usados/-/autos/-/mg,301,false,false,false
https://www.seminuevos.com/blog/dodge-challenger-una-historia-hecha-toda-velocidad,https://www.seminuevos.com/usados/-/autos/-/dodge/challenger,301,false,false,false
